"Gene Symbol"	"Gene Name"
"MBP"	"Myelin basic protein"
"NCOA3"	"Nuclear receptor coactivator 3"
	
"SLC11A2"	"Solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2"
"IL7R"	"Interleukin 7 receptor"
"IL15"	"Interleukin 15"
"IL1B"	"Interleukin 1, beta"
"ICAM2"	"Intercellular adhesion molecule 2"
"ITGAV"	"Integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)"
"ITGA7"	"Integrin, alpha 7"
"GRB7"	"Growth factor receptor-bound protein 7"
"SF3B4"	"Splicing factor 3b, subunit 4, 49kDa"
"ST8SIA2"	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2"
"PASK"	"PAS domain containing serine/threonine kinase"
"SERPINB9"	"Serpin peptidase inhibitor, clade B (ovalbumin), member 9"
"SRPK2"	"SFRS protein kinase 2"
"TROVE2"	"**TROVE domain family, member 2"
"MBOAT5"	"**Membrane bound O-acyltransferase domain containing 5"
"SUHW2"	"Suppressor of hairy wing homolog 2 (Drosophila)"
"NR4A1"	"Nuclear receptor subfamily 4, group A, member 1"
"CUL5"	"Cullin 5"
"TOR1A"	"Torsin family 1, member A (torsin A)"
"FAM127A"	"Family with sequence similarity 127, member A"
"OMD"	"Osteomodulin"
"UQCRQ"	"Ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa"
"GSTA4"	"Glutathione S-transferase A4"
"FABP7"	"Fatty acid binding protein 7, brain"
"AQP7"	"Aquaporin 7"
"CYP17A1"	"**Cytochrome P450, family 17, subfamily A, polypeptide 1"
"CYP2J2"	"Cytochrome P450, family 2, subfamily J, polypeptide 2"
"CBS"	"Cystathionine-beta-synthase"
	"Transcribed locus, weakly similar to XP_576588.2 similar to Cyclin-dependent kinase 5 activator 2 precursor (CDK5 activator 2) (Cyclin-dependent kinase 5 regulatory subunit 2) (P39) (P39I) [Rattus nor"
"CCNE1"	"Cyclin E1"
"CPOX"	"Coproporphyrinogen oxidase"
"CAST"	"Calpastatin"
"CDH2"	"Cadherin 2, type 1, N-cadherin (neuronal)"
"CSTA"	"Cystatin A (stefin A)"
"CNBP"	"CCHC-type zinc finger, nucleic acid binding protein"
"CD83"	"CD83 molecule"
"CD37"	"CD37 molecule"
	"CDNA FLJ38454 fis, clone FEBRA2019690"
	"MRNA; cDNA DKFZp686F1745 (from clone DKFZp686F1745)"
"KCNJ10"	"Potassium inwardly-rectifying channel, subfamily J, member 10"
	
"FLJ12684"	"Hypothetical protein FLJ12684"
	
"C10orf6"	"Chromosome 10 open reading frame 6"
"ACF"	"Apobec-1 complementation factor"
"FLJ20366"	"Hypothetical protein FLJ20366"
"BAZ2B"	"Bromodomain adjacent to zinc finger domain, 2B"
	
"EIF3S1"	"Eukaryotic translation initiation factor 3, subunit 1 alpha, 35kDa"
	"Transcribed locus"
	"CDNA clone IMAGE:5259979"
"HLA-F"	"Major histocompatibility complex, class I, F"
"FBXO6"	"F-box protein 6"
	"Clone FBD8 Cri-du-chat critical region mRNA"
"UBE1L2"	"Ubiquitin-activating enzyme E1-like 2"
	
"KIAA1922"	"KIAA1922 protein"
	
"AGPAT7"	"1-acylglycerol-3-phosphate O-acyltransferase 7 (lysophosphatidic acid acyltransferase, eta)"
"RP11-50D16.3"	"Similar to RIKEN cDNA 8030451K01"
"BRD7"	"Bromodomain containing 7"
	"Transcribed locus"
"COL20A1"	"Collagen, type XX, alpha 1"
"PDZRN3"	"**PDZ domain containing RING finger 3"
"KIAA0460"	"KIAA0460"
	"Transcribed locus"
	"Homo sapiens, clone IMAGE:5761798, mRNA"
	
	"CDNA FLJ39162 fis, clone OCBBF2002376"
"C6orf130"	"Chromosome 6 open reading frame 130"
"AHI1"	"Abelson helper integration site 1"
"TBC1D13"	"TBC1 domain family, member 13"
"IREB2"	"Iron-responsive element binding protein 2"
"MTG1"	"Mitochondrial GTPase 1 homolog (S. cerevisiae)"
"SLC5A6"	"Solute carrier family 5 (sodium-dependent vitamin transporter), member 6"
"ENC1"	"Ectodermal-neural cortex (with BTB-like domain)"
"TWF2"	"Twinfilin, actin-binding protein, homolog 2 (Drosophila)"
"SLC38A6"	"Solute carrier family 38, member 6"
"NFE2L3"	"Nuclear factor (erythroid-derived 2)-like 3"
	"Transcribed locus"
"TM9SF3"	"Transmembrane 9 superfamily member 3"
	"Clone IMAGp998D064417Q2 mRNA sequence"
"LYZL6"	"Lysozyme-like 6"
"SCRL"	"HCG1651476"
"AADAT"	"Aminoadipate aminotransferase"
"TEX264"	"Testis expressed sequence 264"
	"**MRNA; cDNA DKFZp686H1233 (from clone DKFZp686H1233)"
"REEP3"	"**Receptor accessory protein 3"
"GBP5"	"Guanylate binding protein 5"
"FLJ12529"	"Pre-mRNA cleavage factor I, 59 kDa subunit"
"RABEP2"	"Rabaptin, RAB GTPase binding effector protein 2"
"WHSC1"	"Wolf-Hirschhorn syndrome candidate 1"
"SAE2"	"SUMO1 activating enzyme subunit 2"
"PROX1"	"Prospero-related homeobox 1"
"KDELR3"	"KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3"
"CTSZ"	"Cathepsin Z"
"PSMD10"	"Proteasome (prosome, macropain) 26S subunit, non-ATPase, 10"
	"CDNA FLJ38434 fis, clone FEBRA2014939"
	"Transcribed locus"
	"Transcribed locus"
"ATP2B3"	"ATPase, Ca++ transporting, plasma membrane 3"
	"**CDNA FLJ42773 fis, clone BRAWH3004222"
	"Full-length cDNA clone CS0DL005YA15 of B cells (Ramos cell line) Cot 25-normalized of Homo sapiens (human)"
"MGEA5"	"Meningioma expressed antigen 5 (hyaluronidase)"
"RBM7"	"RNA binding motif protein 7"
"NICN1"	"Nicolin 1"
"FBXO18"	"F-box protein, helicase, 18"
"FAIM2"	"Fas apoptotic inhibitory molecule 2"
"TERF2IP"	"Telomeric repeat binding factor 2, interacting protein"
"CPLX3"	"Complexin 3"
	"CDNA FLJ37631 fis, clone BRCOC2015944"
"FAM98A"	"Family with sequence similarity 98, member A"
"THSD4"	"Thrombospondin, type I, domain containing 4"
"APOLD1"	"Apolipoprotein L domain containing 1"
	
"LZTS2"	"Leucine zipper, putative tumor suppressor 2"
"LOC400566"	"**Hypothetical gene supported by AK128660"
"FGF14"	"Fibroblast growth factor 14"
"LOC389203"	"Hypothetical gene supported by BC032431"
	"MRNA; cDNA DKFZp686B2320 (from clone DKFZp686B2320)"
	
	"Transcribed locus"
"PLXNC1"	"Plexin C1"
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus"
	
	"Transcribed locus"
"LOC401134"	"Hypothetical gene supported by BC040544"
	"Transcribed locus"
	"Full length insert cDNA clone ZB97E03"
"SLC30A8"	"Solute carrier family 30 (zinc transporter), member 8"
	
	"Transcribed locus"
"FLJ90709"	"Hypothetical protein FLJ90709"
	"Transcribed locus"
"SLC11A2"	"Solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2"
"LOC400129"	"Similar to SWI/SNF-related matrix-associated actin-dependent regulator of chromatin e1"
"ITGB6"	"Integrin, beta 6"
	"Transcribed locus"
	"**MRNA adjacent to 3' end of integrated HPV16 (INT254)"
"EVA1"	"Epithelial V-like antigen 1"
	"Transcribed locus"
	"Transcribed locus"
	
"NLGN1"	"Neuroligin 1"
"LOC128977"	"Hypothetical protein LOC128977"
"DOK2"	"Docking protein 2, 56kDa"
	"Transcribed locus"
"STEAP2"	"Six transmembrane epithelial antigen of the prostate 2"
	"Transcribed locus"
	"**Transcribed locus"
"LRFN5"	"**Leucine rich repeat and fibronectin type III domain containing 5"
	"MRNA full length insert cDNA clone EUROIMAGE 381867"
"MS4A5"	"Membrane-spanning 4-domains, subfamily A, member 5"
	"Transcribed locus"
	"CDNA clone IMAGE:5267328"
"RNF32"	"Ring finger protein 32"
"LCN10"	"Lipocalin 10"
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus"
"CCDC93"	"Coiled-coil domain containing 93"
	"Transcribed locus, strongly similar to XP_529770.1 hypothetical protein XP_529770 [Pan troglodytes]"
	"Transcribed locus"
"C13orf23"	"Chromosome 13 open reading frame 23"
"RIN3"	"Ras and Rab interactor 3"
	"Transcribed locus"
"KIAA1688"	"KIAA1688 protein"
"LTBP2"	"Latent transforming growth factor beta binding protein 2"
	"Transcribed locus"
	
"VAPA"	"**VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa"
"LOC150383"	"Similar to RIKEN cDNA 2210021J22"
"LOX"	"**Lysyl oxidase"
"STK24"	"Serine/threonine kinase 24 (STE20 homolog, yeast)"
	"Transcribed locus"
"C1orf9"	"Chromosome 1 open reading frame 9"
"FLJ45340"	"Hypothetical gene supported by AK127273"
"WNK1"	"WNK lysine deficient protein kinase 1"
"PYGL"	"Phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)"
"RBMX"	"RNA binding motif protein, X-linked"
	
	
"MLL3"	"Myeloid/lymphoid or mixed-lineage leukemia 3"
	
"CSF2RB"	"Colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)"
	
	"CDNA FLJ42548 fis, clone BRACE3004996"
"RANBP2"	"RAN binding protein 2"
"LOC202781"	"Hypothetical protein LOC202781"
	"Transcribed locus"
	"Transcribed locus"
	
"FAM29A"	"**Family with sequence similarity 29, member A"
"DNAJC3"	"DnaJ (Hsp40) homolog, subfamily C, member 3"
	"Transcribed locus"
	"Transcribed locus"
	
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus"
	"CDNA clone IMAGE:5288439"
"FEZ2"	"**Fasciculation and elongation protein zeta 2 (zygin II)"
	
"TP53BP2"	"Tumor protein p53 binding protein, 2"
"TCERG1"	"**Transcription elongation regulator 1"
"PDE1A"	"Phosphodiesterase 1A, calmodulin-dependent"
	"Transcribed locus"
"C10orf55"	"Chromosome 10 open reading frame 55"
	"Transcribed locus"
	
	"Transcribed locus"
	"Transcribed locus"
"PLD2"	"Phospholipase D2"
	"MRNA from chromosome 5q21-22, clone:357Ex"
"SSSCA1"	"Sjogren's syndrome/scleroderma autoantigen 1"
"CYB5B"	"Cytochrome b5 type B (outer mitochondrial membrane)"
	"**Transcribed locus"
"TBC1D4"	"TBC1 domain family, member 4"
"COCH"	"Coagulation factor C homolog, cochlin (Limulus polyphemus)"
"AQP9"	"Aquaporin 9"
	"MRNA,partial cDNA sequence from cDNA selection, DCR1-17.0,"
"UBE2M"	"Ubiquitin-conjugating enzyme E2M (UBC12 homolog, yeast)"
"LANCL1"	"LanC lantibiotic synthetase component C-like 1 (bacterial)"
"MRPS31"	"Mitochondrial ribosomal protein S31"
	
"FAIM2"	"Fas apoptotic inhibitory molecule 2"
"LGI2"	"Leucine-rich repeat LGI family, member 2"
"CNTNAP2"	"Contactin associated protein-like 2"
"PHLPPL"	"PH domain and leucine rich repeat protein phosphatase-like"
	"Transcribed locus, moderately similar to XP_573950.2 similar to transmembrane protein 28 [Rattus norvegicus]"
	"MRNA; cDNA DKFZp686A22111 (from clone DKFZp686A22111)"
"LOC221710"	"Hypothetical protein LOC221710"
"CXCL14"	"Chemokine (C-X-C motif) ligand 14"
"ZC3H12B"	"Zinc finger CCCH-type containing 12B"
"FAM120A"	"Family with sequence similarity 120A"
	"Transcribed locus"
"CRTAP"	"Cartilage associated protein"
"ADNP"	"**Activity-dependent neuroprotector"
"ZNF652"	"Zinc finger protein 652"
"VTI1A"	"**Vesicle transport through interaction with t-SNAREs homolog 1A (yeast)"
"EPB41L3"	"**Erythrocyte membrane protein band 4.1-like 3"
"ZFYVE20"	"Zinc finger, FYVE domain containing 20"
"PIK3R1"	"**Phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)"
"TTLL4"	"**Tubulin tyrosine ligase-like family, member 4"
	"CDNA clone IMAGE:30924414"
	"Transcribed locus"
"SMURF1"	"**SMAD specific E3 ubiquitin protein ligase 1"
"VANGL1"	"Vang-like 1 (van gogh, Drosophila)"
"POPDC2"	"Popeye domain containing 2"
"BACE1"	"Beta-site APP-cleaving enzyme 1"
	"Transcribed locus"
	"Transcribed locus"
"LMOD3"	"Leiomodin 3 (fetal)"
"C14orf118"	"Chromosome 14 open reading frame 118"
"C10orf35"	"Chromosome 10 open reading frame 35"
"ZNF703"	"Zinc finger protein 703"
"MLLT4"	"Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4"
"UBTD1"	"Ubiquitin domain containing 1"
"ZNF420"	"Zinc finger protein 420"
"ID4"	"Inhibitor of DNA binding 4, dominant negative helix-loop-helix protein"
"IDS"	"Iduronate 2-sulfatase (Hunter syndrome)"
	
"NOL12"	"Nucleolar protein 12"
	"Transcribed locus"
	"Transcribed locus"
"GADD45GIP1"	"Growth arrest and DNA-damage-inducible, gamma interacting protein 1"
	"CDNA FLJ41867 fis, clone OCBBF2005546"
"DAB1"	"Disabled homolog 1 (Drosophila)"
	
"ATP11B"	"ATPase, Class VI, type 11B"
	"Transcribed locus, strongly similar to XP_513203.2 interleukin 28 receptor, alpha [Pan troglodytes]"
	"Transcribed locus"
"H2AFB2"	"H2A histone family, member B2"
"PNN"	"Pinin, desmosome associated protein"
"P2RY6"	"Pyrimidinergic receptor P2Y, G-protein coupled, 6"
"RABGGTA"	"Rab geranylgeranyltransferase, alpha subunit"
"DNAJA2"	"DnaJ (Hsp40) homolog, subfamily A, member 2"
"GLYAT"	"Glycine-N-acyltransferase"
"ARID5A"	"AT rich interactive domain 5A (MRF1-like)"
"CCT6B"	"Chaperonin containing TCP1, subunit 6B (zeta 2)"
"TESK1"	"Testis-specific kinase 1"
"GTF3C1"	"General transcription factor IIIC, polypeptide 1, alpha 220kDa"
"TRIM66"	"Tripartite motif-containing 66"
"ST3GAL2"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 2"
"MCRS1"	"Microspherule protein 1"
"BICD1"	"Bicaudal D homolog 1 (Drosophila)"
"STAG2"	"Stromal antigen 2"
"PMS1"	"PMS1 postmeiotic segregation increased 1 (S. cerevisiae)"
"PCNXL2"	"Pecanex-like 2 (Drosophila)"
"GPR137B"	"G protein-coupled receptor 137B"
"SLC29A1"	"Solute carrier family 29 (nucleoside transporters), member 1"
"STAR"	"Steroidogenic acute regulator"
"HIPK3"	"Homeodomain interacting protein kinase 3"
"PBX1"	"Pre-B-cell leukemia homeobox 1"
"CAMK4"	"Calcium/calmodulin-dependent protein kinase IV"
"LOC90925"	"Hypothetical protein LOC90925"
"FLJ35348"	"FLJ35348"
"DDX24"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 24"
"LOC57228"	"Small trans-membrane and glycosylated protein"
"IL1R1"	"Interleukin 1 receptor, type I"
"LOC729930"	"**Hypothetical protein LOC729930"
"UBR2"	"Ubiquitin protein ligase E3 component n-recognin 2"
	"Transcribed locus"
	"Transcribed locus"
"ZNF641"	"Zinc finger protein 641"
"RNF128"	"Ring finger protein 128"
	
"MAN1C1"	"Mannosidase, alpha, class 1C, member 1"
	"Homo sapiens, clone IMAGE:5171705, mRNA"
"LOC286191"	"Hypothetical protein LOC286191"
	
"ZNF432"	"**Zinc finger protein 432"
	"Transcribed locus"
"LOC554203"	"Hypothetical LOC554203"
"TMED5"	"Transmembrane emp24 protein transport domain containing 5"
"PGS1"	"Phosphatidylglycerophosphate synthase 1"
	
	"Transcribed locus"
	
"ZBED5"	"Zinc finger, BED-type containing 5"
"RERG"	"RAS-like, estrogen-regulated, growth inhibitor"
"ACTA2"	"Actin, alpha 2, smooth muscle, aorta"
	
"PTN"	"**Pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)"
	"Transcribed locus"
"STAT1"	"Signal transducer and activator of transcription 1, 91kDa"
"IGFBP5"	"Insulin-like growth factor binding protein 5"
"S100P"	"S100 calcium binding protein P"
"FOSL2"	"FOS-like antigen 2"
"PLEKHC1"	"Pleckstrin homology domain containing, family C (with FERM domain) member 1"
	"*mitoch. cont. platelet-derived growth factor receptor, beta polypeptide"
"JAK1"	"Janus kinase 1 (a protein tyrosine kinase)"
	
	
	
	
	
	
	
	
	
	
	
	
"DPP7"	"Dipeptidyl-peptidase 7"
"PFKL"	"Phosphofructokinase, liver"
	
	"Transcribed locus"
"LRP6"	"Low density lipoprotein receptor-related protein 6"
	"Transcribed locus"
"SCP2"	"Sterol carrier protein 2"
	"CDNA clone IMAGE:2960540"
	"**Transcribed locus, moderately similar to XP_527055.2 protocadherin 12 [Pan troglodytes]"
	"Transcribed locus, weakly similar to XP_222667.4 similar to eEF1A2 binding protein [Rattus norvegicus]"
"LZTR2"	"Leucine zipper transcription regulator 2"
	
	"Transcribed locus"
"ZNF552"	"Zinc finger protein 552"
"XRN1"	"**5'-3' exoribonuclease 1"
	"Transcribed locus"
"PRKAR2B"	"Protein kinase, cAMP-dependent, regulatory, type II, beta"
"ECGF1"	"Endothelial cell growth factor 1 (platelet-derived)"
"TSGA14"	"Testis specific, 14"
"PLEKHA5"	"Pleckstrin homology domain containing, family A member 5"
	"CDNA FLJ31249 fis, clone KIDNE2005327"
	"Transcribed locus"
"TMEM27"	"Transmembrane protein 27"
	
	"Transcribed locus"
	
	"Transcribed locus, moderately similar to XP_001064201.1 similar to ribosomal protein L31 [Rattus norvegicus]"
	
	
	
"LOC254808"	"**Hypothetical protein LOC254808"
"LOC553137"	"Hypothetical LOC553137"
"NOS3"	"Nitric oxide synthase 3 (endothelial cell)"
	"Transcribed locus"
"NLRC3"	"**NLR family, CARD domain containing 3"
"ATXN7L1"	"Ataxin 7-like 1"
"TMEM174"	"Transmembrane protein 174"
	"CDNA FLJ45341 fis, clone BRHIP3009672"
"LOC389332"	"Hypothetical LOC389332"
	"Transcribed locus, moderately similar to XP_948623.1 hypothetical protein XP_948623 [Homo sapiens]"
"CYP3A5"	"Cytochrome P450, family 3, subfamily A, polypeptide 5"
	
"CD84"	"CD84 molecule"
"FKBP5"	"**FK506 binding protein 5"
	"CDNA FLJ31249 fis, clone KIDNE2005327"
	"CDNA clone IMAGE:6214748"
	"Transcribed locus"
"TXNIP"	"**Thioredoxin interacting protein"
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus, weakly similar to NP_001040571.1 protein LOC364556 [Rattus norvegicus]"
	
	"*mitoch. cont."
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus"
	"CDNA FLJ35683 fis, clone SPLEN2019131"
	"Transcribed locus"
	"*mitoch. cont. cytochrome P450, subfamily XIB (steroid 11-beta-hydroxylase), polypeptide 1"
"NOX1"	"NADPH oxidase 1"
"MGAT4A"	"Mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A"
"LOC162073"	"Hypothetical protein LOC162073"
	"Transcribed locus"
"APOBEC1"	"Apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1"
	"Transcribed locus"
	"CDNA FLJ42008 fis, clone SPLEN2031724"
	
"ZBTB10"	"Zinc finger and BTB domain containing 10"
	
	"Transcribed locus"
	"Transcribed locus"
"WSB1"	"WD repeat and SOCS box-containing 1"
	
	"Transcribed locus"
	
	"Transcribed locus"
	
"GRINA"	"Glutamate receptor, ionotropic, N-methyl D-asparate-associated protein 1 (glutamate binding)"
	
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus, strongly similar to XP_001382100.1 hypothetical protein [Monodelphis domestica]"
	
	"Transcribed locus"
	
	"**Transcribed locus"
	
	
	"Transcribed locus"
"MAP2K2"	"Mitogen-activated protein kinase kinase 2"
	
	
	
	
"FLJ39639"	"Hypothetical protein FLJ39639"
"LRIG1"	"Leucine-rich repeats and immunoglobulin-like domains 1"
	"**Transcribed locus"
"C9orf100"	"**Chromosome 9 open reading frame 100"
	"HC6 (HC6)"
	"Transcribed locus"
"C2orf30"	"Chromosome 2 open reading frame 30"
"DUSP12"	"**Dual specificity phosphatase 12"
"TMCC1"	"**Transmembrane and coiled-coil domain family 1"
"RBM14"	"RNA binding motif protein 14"
	
"C16orf68"	"Chromosome 16 open reading frame 68"
	"Transcribed locus"
"CSNK1A1"	"Casein kinase 1, alpha 1"
"PACSIN1"	"Protein kinase C and casein kinase substrate in neurons 1"
	
"GLI2"	"GLI-Kruppel family member GLI2"
	"Transcribed locus"
"KLHL3"	"Kelch-like 3 (Drosophila)"
"TBX5"	"T-box 5"
"TXNL2"	"**Thioredoxin-like 2"
"EID3"	"**EP300 interacting inhibitor of differentiation 3"
"ZDHHC11"	"**Zinc finger, DHHC-type containing 11"
	"Transcribed locus"
	
	"Transcribed locus"
	
	
	
	"Transcribed locus"
	
	"*mitoch. cont."
"SFTPC"	"Surfactant, pulmonary-associated protein C"
	"Transcribed locus"
	
"ATAD2B"	"ATPase family, AAA domain containing 2B"
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
"MTIF2"	"Mitochondrial translational initiation factor 2"
"IK"	"IK cytokine, down-regulator of HLA II"
"CASP4"	"Caspase 4, apoptosis-related cysteine peptidase"
"HMBS"	"Hydroxymethylbilane synthase"
"HMMR"	"Hyaluronan-mediated motility receptor (RHAMM)"
"FEZ1"	"Fasciculation and elongation protein zeta 1 (zygin I)"
	"Transcribed locus"
"SDCBP"	"Syndecan binding protein (syntenin)"
"RAGE"	"Renal tumor antigen"
"RIN2"	"Ras and Rab interactor 2"
"AFAP1"	"Actin filament associated protein 1"
"AKT1"	"**V-akt murine thymoma viral oncogene homolog 1"
"CD24"	"CD24 molecule"
"BHMT"	"Betaine-homocysteine methyltransferase"
"ENPP2"	"Ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)"
"ATXN2L"	"Ataxin 2-like"
"ARVCF"	"Armadillo repeat gene deletes in velocardiofacial syndrome"
"SFRS11"	"Splicing factor, arginine/serine-rich 11"
"PWP2"	"PWP2 periodic tryptophan protein homolog (yeast)"
"OGT"	"O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)"
"NDN"	"Necdin homolog (mouse)"
"IDH3A"	"Isocitrate dehydrogenase 3 (NAD+) alpha"
"MEOX1"	"Mesenchyme homeobox 1"
"MAPK10"	"Mitogen-activated protein kinase 10"
"GMPR"	"Guanosine monophosphate reductase"
"G6PC"	"Glucose-6-phosphatase, catalytic subunit"
"GNS"	"Glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)"
"GTF2B"	"General transcription factor IIB"
"GJB2"	"**Gap junction protein, beta 2, 26kDa"
"GABRB1"	"Gamma-aminobutyric acid (GABA) A receptor, beta 1"
"FKBP2"	"FK506 binding protein 2, 13kDa"
"EXT2"	"Exostoses (multiple) 2"
	"**Full-length cDNA clone CS0DE008YL13 of Placenta of Homo sapiens (human)"
"EEF2"	"Eukaryotic translation elongation factor 2"
"SPTA1"	"Spectrin, alpha, erythrocytic 1 (elliptocytosis 2)"
"EPS15"	"Epidermal growth factor receptor pathway substrate 15"
"PDHA1"	"Pyruvate dehydrogenase (lipoamide) alpha 1"
"RUNX1"	"Runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)"
"PLP1"	"Proteolipid protein 1 (Pelizaeus-Merzbacher disease, spastic paraplegia 2, uncomplicated)"
"MST1R"	"Macrophage stimulating 1 receptor (c-met-related tyrosine kinase)"
"PTPRF"	"Protein tyrosine phosphatase, receptor type, F"
"PTPN12"	"Protein tyrosine phosphatase, non-receptor type 12"
	"*mitoch. cont. solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3"
"PVALB"	"Parvalbumin"
	"Transcribed locus"
"SFPQ"	"Splicing factor proline/glutamine-rich (polypyrimidine tract binding protein associated)"
"CXYorf3"	"Chromosome X and Y open reading frame 3"
"PSMA3"	"Proteasome (prosome, macropain) subunit, alpha type, 3"
"RCOR1"	"REST corepressor 1"
"CYFIP1"	"Cytoplasmic FMR1 interacting protein 1"
"SLC39A14"	"Solute carrier family 39 (zinc transporter), member 14"
"KIAA0040"	"KIAA0040"
"ADCY7"	"Adenylate cyclase 7"
"TMEM41B"	"Transmembrane protein 41B"
"GUK1"	"Guanylate kinase 1"
"ARHGEF1"	"Rho guanine nucleotide exchange factor (GEF) 1"
"GOLGA4"	"Golgi autoantigen, golgin subfamily a, 4"
"TSPAN3"	"Tetraspanin 3"
"RABGGTB"	"Rab geranylgeranyltransferase, beta subunit"
"FOXJ1"	"Forkhead box J1"
"GSTA2"	"Glutathione S-transferase A2"
"GOT2"	"Glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)"
"GFAP"	"Glial fibrillary acidic protein"
"GGCX"	"Gamma-glutamyl carboxylase"
"ACTG2"	"Actin, gamma 2, smooth muscle, enteric"
"RASA1"	"RAS p21 protein activator (GTPase activating protein) 1"
"RHAG"	"Rh-associated glycoprotein"
"ELA3B"	"Elastase 3B, pancreatic"
"ADAR"	"Adenosine deaminase, RNA-specific"
"DLX4"	"Distal-less homeobox 4"
"DBT"	"Dihydrolipoamide branched chain transacylase E2"
"DGKA"	"Diacylglycerol kinase, alpha 80kDa"
"PHF21A"	"PHD finger protein 21A"
"GTPBP4"	"GTP binding protein 4"
	
"CENTG3"	"Centaurin, gamma 3"
"WDR26"	"WD repeat domain 26"
"EML2"	"Echinoderm microtubule associated protein like 2"
"EIF3S6IP"	"Eukaryotic translation initiation factor 3, subunit 6 interacting protein"
"DNAJC12"	"DnaJ (Hsp40) homolog, subfamily C, member 12"
"AIG1"	"Androgen-induced 1"
	"Transcribed locus"
"C11orf54"	"Chromosome 11 open reading frame 54"
"GLOD4"	"Chromosome 17 open reading frame 25"
"FOXA3"	"Forkhead box A3"
"TMEM47"	"Transmembrane protein 47"
"GNG5"	"Guanine nucleotide binding protein (G protein), gamma 5"
"FANCF"	"Fanconi anemia, complementation group F"
"TMED4"	"Transmembrane emp24 protein transport domain containing 4"
"SERPINE2"	"Serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2"
"C14orf2"	"Chromosome 14 open reading frame 2"
"PRKAG2"	"Protein kinase, AMP-activated, gamma 2 non-catalytic subunit"
"HIBADH"	"3-hydroxyisobutyrate dehydrogenase"
"HAO1"	"**Hydroxyacid oxidase (glycolate oxidase) 1"
"PARP14"	"Poly (ADP-ribose) polymerase family, member 14"
"UBAP1"	"Ubiquitin associated protein 1"
"IYD"	"Iodotyrosine deiodinase"
"PLA2G12B"	"Phospholipase A2, group XIIB"
	
"LOC440993"	"Hypothetical gene supported by AK128346"
"TSPAN32"	"Tetraspanin 32"
"FNDC5"	"Fibronectin type III domain containing 5"
	
"CCDC35"	"Coiled-coil domain containing 35"
	"**Homo sapiens, clone IMAGE:3910487, mRNA"
	"Transcribed locus"
"TNFAIP8L2"	"Tumor necrosis factor, alpha-induced protein 8-like 2"
	
"CDCA5"	"Cell division cycle associated 5"
	"Transcribed locus"
"CCDC104"	"Coiled-coil domain containing 104"
	
"ZBTB4"	"Zinc finger and BTB domain containing 4"
	
	"Full length insert cDNA YI09H09"
"ANK3"	"Ankyrin 3, node of Ranvier (ankyrin G)"
"AMMECR1"	"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region, gene 1"
"ITGB8"	"Integrin, beta 8"
"PLEKHG5"	"Pleckstrin homology domain containing, family G (with RhoGef domain) member 5"
	"CDNA FLJ90571 fis, clone OVARC1001725, highly similar to Homo sapiens patched related protein TRC8 (TRC8) gene"
"B3GNT2"	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2"
	
	
	"Transcribed locus"
"FYB"	"FYN binding protein (FYB-120/130)"
	"Transcribed locus"
"LGALS8"	"**Lectin, galactoside-binding, soluble, 8 (galectin 8)"
	
